tidied 1 unfrozen.csv,tidied 2 slow.csv,tidied 3 snap.csv,tidied 4 dmso.csv,tidied 5 snap and dmso.csv
3.341,2.184,1.817,1.591,2.866
2.342,1.778,5.125,3.533,2.943
3.085,1.463,12.157,2.566,3.390
1.494,2.821,13.352,2.396,1.989
2.221,1.768,4.951,2.303,2.145
5.535,1.485,3.566,8.065,2.500
2.006,,1.621,3.222,3.073
1.533,,1.713,2.631,1.542
3.302,,2.658,2.109,3.615
3.431,,1.826,1.990,2.554
2.616,,3.650,5.362,4.675
4.093,,5.003,2.143,7.166
1.565,,2.088,1.553,4.400
2.353,,9.407,3.137,2.764
3.860,,2.779,2.193,4.836
3.064,,2.008,1.847,2.160
3.317,,2.980,1.586,4.149
3.335,,2.819,1.791,3.541
3.343,,1.986,1.995,2.513
5.534,,2.259,1.850,4.368
4.332,,3.194,1.591,3.590
2.358,,2.847,2.765,4.760
3.219,,4.216,2.150,3.262
3.329,,1.927,5.454,7.196
1.780,,5.414,1.567,5.263
3.067,,3.584,3.638,2.689
6.588,,2.067,2.156,3.358
2.037,,2.380,4.714,1.588
4.494,,2.416,6.214,4.160
1.526,,2.708,5.177,1.927
3.238,,5.950,7.793,2.731
7.535,,3.194,5.591,3.321
2.478,,1.543,1.806,3.801
3.277,,5.064,2.547,5.752
2.110,,4.442,4.157,1.558
8.602,,3.611,2.826,2.833
2.114,,2.281,4.944,3.064
3.722,,,12.765,13.129
8.714,,,2.159,3.795
2.566,,,6.572,3.018
16.942,,,1.474,1.990
14.778,,,3.187,3.409
13.854,,,1.581,1.464
2.786,,,1.622,3.354
7.136,,,2.193,1.804
10.681,,,1.916,3.402
6.028,,,3.552,3.018
3.154,,,1.752,4.990
2.544,,,2.235,7.732
4.068,,,3.914,2.924
7.625,,,1.875,2.080
4.533,,,1.956,1.686
2.981,,,2.162,1.756
4.365,,,2.504,11.888
1.463,,,1.508,1.950
7.086,,,1.936,2.094
5.226,,,1.466,1.574
1.614,,,2.235,1.572
5.441,,,2.004,1.899
2.873,,,2.448,2.753
1.703,,,2.079,7.240
2.655,,,10.454,3.318
1.881,,,2.607,1.999
1.557,,,5.733,3.094
2.532,,,3.398,2.362
4.551,,,2.029,5.321
1.499,,,1.764,1.997
1.491,,,7.326,5.437
1.841,,,2.006,2.123
11.724,,,2.201,2.927
13.025,,,6.096,4.833
2.387,,,7.596,2.274
13.590,,,3.788,5.363
3.555,,,6.388,2.566
7.469,,,4.260,2.836
4.227,,,2.641,3.306
6.204,,,2.889,5.815
5.540,,,4.417,6.747
2.728,,,3.219,3.952
2.848,,,6.717,3.521
2.572,,,7.599,6.388
2.058,,,4.882,1.495
3.702,,,1.619,3.943
11.677,,,2.379,2.820
4.312,,,2.746,4.881
2.288,,,9.613,2.629
1.569,,,2.661,4.913
1.610,,,1.838,1.836
3.386,,,5.651,1.500
5.832,,,2.404,5.497
2.525,,,1.631,3.446
1.464,,,4.619,2.401
1.857,,,3.398,2.902
6.087,,,4.748,2.850
1.931,,,1.872,3.500
2.537,,,2.374,5.470
2.239,,,3.215,3.805
3.941,,,7.137,4.631
2.066,,,2.060,4.872
