tidied 1 unfrozen.csv,tidied 2 slow.csv,tidied 3 snap.csv,tidied 4 dmso.csv,tidied 5 snap and dmso.csv
7.473,3.63,6.228,2.276,3.003
10.939,1.773,1.569,1.787,2.391
1.667,3.762,2.666,2.4,4.359
3.88,1.878,2.102,4.942,4.212
1.589,2.357,2.634,3.28,8.137
4.624,2.63,3.602,4.283,3.968
5.394,7.022,1.46,1.809,3.884
10.607,3.089,4.859,10.015,4.522
13.208,2.545,3.1,5.833,2.023
7.572,3.691,5.734,5.861,1.586
3.709,4.316,6.504,2.543,5.035
9.85,3.731,1.707,3.95,3.744
15.078,2.006,4.347,2.332,4.496
3.711,2.656,1.915,1.986,4.436
5.186,1.79,5.013,3.654,1.476
2.732,3.268,2.012,4.772,3.773
4.716,1.881,7.419,1.485,4.482
4.124,2.062,3.253,2.081,2.878
3.837,1.821,4.453,4.358,5.462
2.029,2.556,5.808,1.887,2.252
2.257,2.473,5.865,4.282,5.808
2.661,1.478,5.877,1.628,3.195
1.916,1.725,4.979,4.642,2.101
1.668,2.332,2.293,4.585,5.649
3.943,4.56,1.795,3.372,1.596
3.235,1.701,3.678,3.198,4.204
1.813,2.692,2.118,1.626,1.696
2.734,1.785,1.641,1.911,7.075
1.847,1.51,2.115,4.348,2.245
2.793,2.221,2.062,2.432,2.403
1.613,1.595,1.769,1.705,3.749
5.361,2.063,7.201,2.124,1.774
2.401,1.509,6.671,1.921,2.202
3.175,2.125,15.408,2.774,1.803
13.181,1.646,6.446,2.276,1.926
3.086,2.094,2.95,2.387,1.894
1.765,2.717,1.737,8.592,2.123
2.895,1.683,4.827,4.2,1.69
3.919,1.575,7.15,1.634,1.974
2.574,1.978,4.649,4.859,1.882
13.878,3.319,2.757,3.52,3.945
2.329,3.263,3.717,1.664,3.366
2.965,2.235,3.587,4.63,2.854
7.658,3.059,1.468,2.052,1.511
1.777,1.967,2.115,3.423,9.863
5.486,2.034,2.917,1.895,7.343
1.948,1.731,2.714,4.041,4.232
2.41,2.387,1.898,2.101,2.677
2.845,1.535,1.534,2.073,1.817
6.392,3.527,3.516,3.849,4.945
3.71,2.359,3.311,3.11,2.189
5.884,1.526,4.643,1.973,1.491
2.98,2.088,4.886,2.346,1.775
1.567,1.533,3.653,3.784,2.923
1.92,1.813,5.48,7.168,4.83
2.098,1.478,2.538,5.377,2.267
2.161,1.688,5.362,3.421,1.625
2.788,1.461,2.945,4.804,5.547
10.467,4.972,2.733,1.645,4.118
7.386,1.855,2.034,2.069,19.258
6.764,1.625,4.794,1.505,3.753
4.3,1.838,2.231,1.622,5.043
