tidied 1 unfrozen.csv,tidied 2 slow.csv,tidied 3 snap.csv,tidied 4 dmso.csv,tidied 5 snap and dmso.csv
9.162,10.482,1.48,3.719,2.533
5.604,6.222,2.339,2.315,1.808
6.088,2.471,1.767,5.25,4.907
10.099,3.153,3.564,3.336,3.619
3.272,4.694,1.742,6.386,3.154
1.626,2.48,1.534,1.958,3.599
17.497,1.985,2.706,2.05,5.254
4.071,3.109,2.764,5.329,5.603
7.928,4.111,4.347,2.897,6.43
1.506,10.356,2.461,3.821,2.118
1.725,1.917,4.841,2.043,9.863
1.815,4.785,8.81,3.424,4.341
2.065,2.094,10.54,3.212,3.349
3.397,1.597,2.934,5.231,2.118
1.633,2.85,1.794,2.227,2.29
7.112,2.045,1.715,2.208,2.104
3.965,2.174,2.397,2.202,3.501
7.96,2.38,3.599,1.579,6.506
8.326,1.848,2.085,1.516,1.877
5.521,1.669,4.669,1.95,1.751
15.526,3.594,1.945,3.212,4.017
3.47,1.485,1.621,3.534,2.919
1.665,8.372,1.648,2.514,5.406
1.761,3.884,6.052,1.478,2.561
2.592,4.507,1.594,1.725,5.143
1.482,3.448,7.186,1.485,2.653
6.106,1.737,8.597,4.332,2.28
5.126,4.637,4.851,1.881,2.796
5.875,7.759,3.222,5.83,2.712
3.266,2.425,1.937,2.82,2.385
4.802,5.028,6.675,2.319,2.002
3.276,3.113,5.695,5.231,3.389
2.155,2.751,5.505,2.237,4.469
6.733,1.836,3.341,7.246,2.735
1.634,2.445,4.67,2.588,1.773
6.388,1.59,4.859,2.842,1.837
4.896,1.682,2.408,7.227,2.061
4.073,2.505,2.414,2.236,2.309
2.955,2.09,3.405,1.773,1.514
3.05,1.952,1.53,1.637,2.197
5.989,3.493,3.725,1.496,2.478
1.567,3.065,2.296,1.925,2.188
3.543,2.671,2.931,1.692,6.237
1.621,5.777,2.126,2.6,6.89
2.355,1.813,3.183,1.945,2.811
15.575,1.585,4.239,1.484,4.365
1.616,1.825,3.506,3.209,1.884
17.319,1.495,1.735,3.492,6.43
2.925,1.567,1.609,1.533,8.35
5.354,2.789,1.738,1.99,2.178
16.458,2.834,1.513,3.356,3.452
5.604,2.312,1.498,3.331,2.837
5.058,3.87,7.433,2.54,3.953
11.716,5.301,3.887,10.841,3.528
4.244,7.574,2.639,3.402,6.023
2.208,7.23,5.932,6.076,4.546
4.618,2.3,3.626,2.048,2.852
10.277,3.089,3.028,1.504,1.971
2.044,5.681,11.42,2.681,3.842
11.675,2.122,9.976,2.534,1.511
13.208,1.525,3.516,4.11,1.986
2.061,2.263,2.402,1.77,2.066
3.479,3.08,2.395,2.561,2.999
13.719,3.311,1.553,2.377,2.265
3.984,4.896,2.539,2.812,3.773
1.675,6.096,3.918,2.279,1.723
4.637,3.747,4.747,3.14,1.663
3.148,1.801,2.027,3.144,2.499
6.34,2.184,2.676,3.408,2.87
1.72,5.455,4.294,1.664,2.958
3.142,3.107,2.723,1.964,6.141
4.116,2.631,3.834,1.975,1.538
3.162,3.1,1.682,2.786,1.862
3.337,3.466,2.076,2.757,3.203
2.206,2.504,2.936,1.583,3.215
12.018,5.203,1.94,2.285,2.296
12.706,1.875,3.975,2.287,1.567
9.888,1.74,3.563,3.598,1.638
4.894,1.591,1.874,3.759,2.568
5.084,6.225,2.228,2.696,2.386
2.873,3.763,1.812,7.125,5.127
6.535,8.784,2.166,5.285,3.734
2.532,1.827,1.677,5.794,1.705
4.861,2.782,2.166,7.725,3.559
6.658,1.592,1.877,2.965,1.799
4.108,3.173,3.498,7.211,5.089
2.646,1.799,3.349,2.689,7.666
4.673,1.973,4.432,3.031,2.644
7.09,1.717,8.33,4.166,1.679
1.521,1.784,2.83,2.16,2.967
2.495,1.484,2.779,1.643,1.873
4.642,4.496,2.094,2.615,2.793
1.721,2.811,2.324,1.986,1.769
11.11,4.041,2.166,1.729,1.976
13.579,3.083,1.832,1.764,2.486
7.09,2.572,3.219,3.037,2.344
22.673,1.509,2.652,2.589,2.4
5.764,2.726,7.41,3.324,2.22
6.401,3.166,7.08,1.782,1.927
6.109,2.365,11.704,1.892,2.207
7.639,1.826,7.112,1.709,1.584
7.589,1.608,2.099,1.643,1.951
7.617,1.618,5.956,2.518,3.479
8.609,2.853,2.563,1.635,2.292
2.34,1.892,5.904,1.533,2.188
1.773,2.023,2.758,1.851,1.588
3.411,2.964,2.457,5.978,4.884
5.442,3.46,2.064,3.087,2.292
1.682,1.848,1.612,2.242,3.065
6.312,1.684,1.898,1.872,3.785
6.039,2.711,5.854,1.573,3.223
2.147,2.113,3.128,2.149,2.313
3.487,1.468,1.591,2.256,4.446
8.315,3.503,2.093,1.702,2.086
3.692,4.387,2.648,3.766,1.615
6.477,5.33,2.682,1.619,4.505
10.433,2.969,2.845,7.183,4.848
4.556,2.113,2.914,2.749,5.5
8.654,1.81,4.616,3.615,3.325
13.923,1.722,3.586,3.721,1.818
2.401,1.699,3.742,2.743,3.778
10.351,1.978,2.219,3.385,3.39
3.484,2.084,3.229,5.04,1.604
1.561,1.821,5.644,3.266,2.518
4.523,2.332,3.927,2.96,3.664
8.819,3.583,2.406,2.7,2.112
2.466,2.075,3.701,3.473,2.387
2.5,3.043,6.821,2.367,1.94
4.425,3.051,3.055,2.008,3.587
6.036,1.704,8.277,1.477,2.82
2.036,4.415,2.757,1.708,6.143
1.852,1.549,3.642,2.414,1.552
3.625,2.397,2.584,2.5,4.919
1.657,1.696,2.92,2.28,1.926
2.745,1.76,1.946,4.017,2.363
3.169,1.985,1.535,2.544,2.97
3.619,4.331,3.434,2.357,2.061
6.422,4.561,1.856,1.798,2.719
5.013,1.706,3.34,7,7.358
6.493,,4.454,6.902,1.584
3.217,,4.697,5.652,2.624
7.855,,3.226,4.741,1.99
5.721,,3.095,4.663,1.492
9.434,,2.158,2.886,1.913
15.327,,3.179,3.585,9.348
4.944,,4.441,7.229,2.253
1.786,,1.702,4.304,1.967
2.236,,5.288,2.135,5.055
12.224,,2.355,3.325,5.578
9.703,,4.947,1.824,2.062
1.854,,3.038,4.244,1.746
9.369,,14.919,1.931,5.881
17.152,,6.314,2.883,3.127
3.672,,6.128,3.441,4.851
6.023,,1.578,2.335,3.024
3.073,,1.866,2.329,1.723
8.58,,2.192,2.752,5.309
3.61,,2.505,2.068,7.551
3.525,,1.692,1.975,1.749
2.043,,2.061,1.896,2.348
2.841,,1.97,2.532,2.27
6.915,,2.164,1.49,2.532
4.67,,2.263,3.121,2.05
3.187,,5.585,2.509,1.719
3.797,,3.767,8.013,1.961
11.55,,2.017,2.741,4.941
9.995,,7.16,1.863,3.897
5.122,,10.369,1.576,3.598
14.236,,4.813,3.774,3.236
15.895,,8.005,4.996,5.485
13.144,,2.399,4.692,3.405
4.392,,5.35,3.864,2.567
15.039,,3.855,3.117,3.056
4.719,,2.976,3.851,2.999
1.616,,3.245,1.8,2.357
5.338,,3.02,2.045,2.388
3.731,,1.723,4.682,5.81
1.864,,3.222,2.075,3.958
2.239,,1.799,2.327,3.034
4.304,,1.561,2.762,1.699
4.552,,2.347,6.797,1.552
4.141,,,2.049,1.973
2.251,,,2.68,1.989
2.246,,,3.434,2.505
4.723,,,2.386,2.097
1.99,,,1.478,2.587
2.187,,,2.263,4.476
1.589,,,3.238,3.487
16.335,,,2.066,3.041
10.38,,,2.095,7.008
5.478,,,2.49,5.162
1.872,,,4.466,2.305
5.362,,,2.203,2.163
1.855,,,4.503,7.216
4.193,,,2.037,2.746
8.626,,,5.02,3.031
5.061,,,3.743,2.802
3.618,,,4.306,3.949
2.091,,,5.358,1.609
9.478,,,3.867,2.547
5.658,,,2.358,1.837
1.589,,,7.409,2.155
,,,2.218,1.872
,,,5.589,2.181
,,,10.899,3.012
,,,7.913,1.736
,,,2.63,3.325
,,,1.861,1.476
,,,1.977,4.379
,,,3.905,1.609
,,,1.531,5.881
,,,1.865,3.527
,,,2.835,2.7
,,,2.665,4.735
,,,6.715,1.462
,,,2.956,3.13
,,,5.727,3.67
,,,1.859,2.144
,,,,4.057
,,,,4.141
,,,,4.115
,,,,2.503
,,,,2.617
,,,,5.262
,,,,4.668
,,,,3.045
,,,,1.915
,,,,2.227
,,,,2.862
,,,,2.282
,,,,4.855
,,,,3.98
,,,,7.283
,,,,2.718
,,,,1.462
,,,,3.847
,,,,3.104
,,,,1.988
,,,,1.459
,,,,11.625
,,,,5.673
,,,,3.535
,,,,1.693
,,,,2.88
,,,,4.302
,,,,2.932
,,,,7.438
,,,,4.755
,,,,3.526
,,,,4.485
,,,,2.762
,,,,4.094
,,,,5.355
,,,,2.081
,,,,1.762
,,,,7.157
,,,,1.783
,,,,2.693
,,,,1.483
,,,,5.364
,,,,2.139
,,,,2.302
,,,,2.476
,,,,1.553
,,,,1.833
,,,,2.446
,,,,1.874
,,,,1.467
,,,,1.655
,,,,2.784
,,,,2.063
,,,,1.997
,,,,1.505
,,,,5.991
,,,,7.779
,,,,2.455
,,,,4.93
,,,,1.495
,,,,2.162
,,,,4.938
,,,,3.753
,,,,1.551
,,,,1.481
,,,,4.794
,,,,1.515
,,,,3.357
,,,,1.655
,,,,2.304
,,,,1.757
,,,,1.527
